# ./probe-ship-g912 56de54004a015275febc5643f783843a N=50 2026-08-30T11:51:14+02:00 ARMS=mut-odo-vecdims-add-in-leaf-u2 mut-odo-vecdims-add-in-leaf-u2-down mut-odo-vecdims-add-in-leaf-down mut-odo-vecdims-add-in-leaf sum-only-early
# shape arm N instructions:u
# every cell is (-n 2N) minus (-n N), over N, as run-counts.sh takes it
# ARMS-RESTRICTED BY CONSTRUCTION: this sweep is never a roster column
alexnet-L1-55-c3-k11 mut-odo-vecdims-add-in-leaf-u2 50 18283334
alexnet-L1-55-c3-k11 mut-odo-vecdims-add-in-leaf-u2-down 50 18183485
alexnet-L1-55-c3-k11 mut-odo-vecdims-add-in-leaf-down 50 20479477
alexnet-L1-55-c3-k11 mut-odo-vecdims-add-in-leaf 50 21514230
alexnet-L1-55-c3-k11 sum-only-early 50 9882770
alexnet-L2-27-c48-k5 mut-odo-vecdims-add-in-leaf-u2 50 17126475
alexnet-L2-27-c48-k5 mut-odo-vecdims-add-in-leaf-u2-down 50 16951503
alexnet-L2-27-c48-k5 mut-odo-vecdims-add-in-leaf-down 50 18876088
alexnet-L2-27-c48-k5 mut-odo-vecdims-add-in-leaf 50 19683165
alexnet-L2-27-c48-k5 sum-only-early 50 7873308
cifar-L2-16-c64-k3 mut-odo-vecdims-add-in-leaf-u2 50 3723457
cifar-L2-16-c64-k3 mut-odo-vecdims-add-in-leaf-u2-down 50 3674305
cifar-L2-16-c64-k3 mut-odo-vecdims-add-in-leaf-down 50 4018369
cifar-L2-16-c64-k3 mut-odo-vecdims-add-in-leaf 50 4166643
cifar-L2-16-c64-k3 sum-only-early 50 1327158
cnn-L1-24x24-c1 mut-odo-vecdims-add-in-leaf-u2 50 168234
cnn-L1-24x24-c1 mut-odo-vecdims-add-in-leaf-u2-down 50 166508
cnn-L1-24x24-c1 mut-odo-vecdims-add-in-leaf-down 50 178601
cnn-L1-24x24-c1 mut-odo-vecdims-add-in-leaf 50 185589
cnn-L1-24x24-c1 sum-only-early 50 46726
cnn-L1-6x6-c1 mut-odo-vecdims-add-in-leaf-u2 50 13090
cnn-L1-6x6-c1 mut-odo-vecdims-add-in-leaf-u2-down 50 12984
cnn-L1-6x6-c1 mut-odo-vecdims-add-in-leaf-down 50 13738
cnn-L1-6x6-c1 mut-odo-vecdims-add-in-leaf 50 14194
cnn-L1-6x6-c1 sum-only-early 50 2970
cnn-L2-24x24-c32 mut-odo-vecdims-add-in-leaf-u2 50 4205766
cnn-L2-24x24-c32 mut-odo-vecdims-add-in-leaf-u2-down 50 4150484
cnn-L2-24x24-c32 mut-odo-vecdims-add-in-leaf-down 50 4537546
cnn-L2-24x24-c32 mut-odo-vecdims-add-in-leaf 50 4705236
cnn-L2-24x24-c32 sum-only-early 50 1493002
