# ./probe-noshim-g912 a594482bc0512d49c7b472743821ebe6 N=50 2026-08-30T11:50:28+02:00 ARMS=mut-odo-vecdims-add-in-leaf-u2 mut-odo-vecdims-add-in-leaf-u2-down mut-odo-vecdims-add-in-leaf-down mut-odo-vecdims-add-in-leaf sum-only-early
# shape arm N instructions:u
# every cell is (-n 2N) minus (-n N), over N, as run-counts.sh takes it
# ARMS-RESTRICTED BY CONSTRUCTION: this sweep is never a roster column
alexnet-L1-55-c3-k11 mut-odo-vecdims-add-in-leaf-u2 50 20316305
alexnet-L1-55-c3-k11 mut-odo-vecdims-add-in-leaf-u2-down 50 21214717
alexnet-L1-55-c3-k11 mut-odo-vecdims-add-in-leaf-down 50 20479491
alexnet-L1-55-c3-k11 mut-odo-vecdims-add-in-leaf 50 21514210
alexnet-L1-55-c3-k11 sum-only-early 50 9882780
alexnet-L2-27-c48-k5 mut-odo-vecdims-add-in-leaf-u2 50 18633405
alexnet-L2-27-c48-k5 mut-odo-vecdims-add-in-leaf-u2-down 50 19158287
alexnet-L2-27-c48-k5 mut-odo-vecdims-add-in-leaf-down 50 18876072
alexnet-L2-27-c48-k5 mut-odo-vecdims-add-in-leaf 50 19683209
alexnet-L2-27-c48-k5 sum-only-early 50 7873328
cifar-L2-16-c64-k3 mut-odo-vecdims-add-in-leaf-u2 50 3970042
cifar-L2-16-c64-k3 mut-odo-vecdims-add-in-leaf-u2-down 50 4019187
cifar-L2-16-c64-k3 mut-odo-vecdims-add-in-leaf-down 50 4018369
cifar-L2-16-c64-k3 mut-odo-vecdims-add-in-leaf 50 4166639
cifar-L2-16-c64-k3 sum-only-early 50 1327180
cnn-L1-24x24-c1 mut-odo-vecdims-add-in-leaf-u2 50 178680
cnn-L1-24x24-c1 mut-odo-vecdims-add-in-leaf-u2-down 50 180407
cnn-L1-24x24-c1 mut-odo-vecdims-add-in-leaf-down 50 178600
cnn-L1-24x24-c1 mut-odo-vecdims-add-in-leaf 50 185608
cnn-L1-24x24-c1 sum-only-early 50 46726
cnn-L1-6x6-c1 mut-odo-vecdims-add-in-leaf-u2 50 13758
cnn-L1-6x6-c1 mut-odo-vecdims-add-in-leaf-u2-down 50 13871
cnn-L1-6x6-c1 mut-odo-vecdims-add-in-leaf-down 50 13738
cnn-L1-6x6-c1 mut-odo-vecdims-add-in-leaf 50 14194
cnn-L1-6x6-c1 sum-only-early 50 2970
cnn-L2-24x24-c32 mut-odo-vecdims-add-in-leaf-u2 50 4484057
cnn-L2-24x24-c32 mut-odo-vecdims-add-in-leaf-u2-down 50 4539353
cnn-L2-24x24-c32 mut-odo-vecdims-add-in-leaf-down 50 4537544
cnn-L2-24x24-c32 mut-odo-vecdims-add-in-leaf 50 4705235
cnn-L2-24x24-c32 sum-only-early 50 1493002
cnn-slice-c32 mut-odo-vecdims-add-in-leaf-u2 50 9464
cnn-slice-c32 mut-odo-vecdims-add-in-leaf-u2-down 50 9557
cnn-slice-c32 mut-odo-vecdims-add-in-leaf-down 50 9559
cnn-slice-c32 mut-odo-vecdims-add-in-leaf 50 9839
cnn-slice-c32 sum-only-early 50 2647
conv1d-24 mut-odo-vecdims-add-in-leaf-u2 50 111968
conv1d-24 mut-odo-vecdims-add-in-leaf-u2-down 50 113690
conv1d-24 mut-odo-vecdims-add-in-leaf-down 50 115129
conv1d-24 mut-odo-vecdims-add-in-leaf 50 118871
conv1d-24 sum-only-early 50 46710
gather48-src-50 mut-odo-vecdims-add-in-leaf-u2 50 464989
gather48-src-50 mut-odo-vecdims-add-in-leaf-u2-down 50 472480
gather48-src-50 mut-odo-vecdims-add-in-leaf-down 50 479373
gather48-src-50 mut-odo-vecdims-add-in-leaf 50 494978
gather48-src-50 sum-only-early 50 202553
lenet-L1-28-c1-k5 mut-odo-vecdims-add-in-leaf-u2 50 469646
lenet-L1-28-c1-k5 mut-odo-vecdims-add-in-leaf-u2-down 50 481397
lenet-L1-28-c1-k5 mut-odo-vecdims-add-in-leaf-down 50 472676
lenet-L1-28-c1-k5 mut-odo-vecdims-add-in-leaf 50 493154
lenet-L1-28-c1-k5 sum-only-early 50 176460
stretch-bigstride mut-odo-vecdims-add-in-leaf-u2 50 36006407
