# ./probe-fillA-g912 1f3ae884a04d87bdfaa7c1daeea24d65 N=50 2026-08-30T20:10:12+02:00 ARMS=mut-odo-vecdims-add-in-leaf-u2 mut-odo-vecdims-add-in-leaf-u2-down mut-odo-vecdims-add-in-leaf-down mut-odo-vecdims-add-in-leaf sum-only-early
# shape arm N instructions:u
# every cell is (-n 2N) minus (-n N), over N, as run-counts.sh takes it
# ARMS-RESTRICTED BY CONSTRUCTION: this sweep is never a roster column
alexnet-L1-55-c3-k11 mut-odo-vecdims-add-in-leaf-u2 50 21314542
alexnet-L1-55-c3-k11 mut-odo-vecdims-add-in-leaf-u2-down 50 21214751
alexnet-L1-55-c3-k11 mut-odo-vecdims-add-in-leaf-down 50 20479483
alexnet-L1-55-c3-k11 mut-odo-vecdims-add-in-leaf 50 21514210
alexnet-L1-55-c3-k11 sum-only-early 50 9882784
alexnet-L2-27-c48-k5 mut-odo-vecdims-add-in-leaf-u2 50 19333245
alexnet-L2-27-c48-k5 mut-odo-vecdims-add-in-leaf-u2-down 50 19158303
alexnet-L2-27-c48-k5 mut-odo-vecdims-add-in-leaf-down 50 18876057
alexnet-L2-27-c48-k5 mut-odo-vecdims-add-in-leaf 50 19683161
alexnet-L2-27-c48-k5 sum-only-early 50 7873326
cifar-L2-16-c64-k3 mut-odo-vecdims-add-in-leaf-u2 50 4068344
cifar-L2-16-c64-k3 mut-odo-vecdims-add-in-leaf-u2-down 50 4019186
cifar-L2-16-c64-k3 mut-odo-vecdims-add-in-leaf-down 50 4018369
cifar-L2-16-c64-k3 mut-odo-vecdims-add-in-leaf 50 4166640
cifar-L2-16-c64-k3 sum-only-early 50 1327160
cnn-L1-24x24-c1 mut-odo-vecdims-add-in-leaf-u2 50 182136
cnn-L1-24x24-c1 mut-odo-vecdims-add-in-leaf-u2-down 50 180408
cnn-L1-24x24-c1 mut-odo-vecdims-add-in-leaf-down 50 178600
cnn-L1-24x24-c1 mut-odo-vecdims-add-in-leaf 50 185590
cnn-L1-24x24-c1 sum-only-early 50 46726
cnn-L1-6x6-c1 mut-odo-vecdims-add-in-leaf-u2 50 13973
cnn-L1-6x6-c1 mut-odo-vecdims-add-in-leaf-u2-down 50 13871
cnn-L1-6x6-c1 mut-odo-vecdims-add-in-leaf-down 50 13738
cnn-L1-6x6-c1 mut-odo-vecdims-add-in-leaf 50 14194
cnn-L1-6x6-c1 sum-only-early 50 2970
cnn-L2-24x24-c32 mut-odo-vecdims-add-in-leaf-u2 50 4594650
cnn-L2-24x24-c32 mut-odo-vecdims-add-in-leaf-u2-down 50 4539360
cnn-L2-24x24-c32 mut-odo-vecdims-add-in-leaf-down 50 4537543
cnn-L2-24x24-c32 mut-odo-vecdims-add-in-leaf 50 4705231
cnn-L2-24x24-c32 sum-only-early 50 1493001
cnn-slice-c32 mut-odo-vecdims-add-in-leaf-u2 50 9656
cnn-slice-c32 mut-odo-vecdims-add-in-leaf-u2-down 50 9557
cnn-slice-c32 mut-odo-vecdims-add-in-leaf-down 50 9559
cnn-slice-c32 mut-odo-vecdims-add-in-leaf 50 9839
cnn-slice-c32 sum-only-early 50 2648
conv1d-24 mut-odo-vecdims-add-in-leaf-u2 50 115424
conv1d-24 mut-odo-vecdims-add-in-leaf-u2-down 50 113690
conv1d-24 mut-odo-vecdims-add-in-leaf-down 50 115129
conv1d-24 mut-odo-vecdims-add-in-leaf 50 118871
conv1d-24 sum-only-early 50 46710
gather48-src-50 mut-odo-vecdims-add-in-leaf-u2 50 479990
gather48-src-50 mut-odo-vecdims-add-in-leaf-u2-down 50 472481
gather48-src-50 mut-odo-vecdims-add-in-leaf-down 50 479373
gather48-src-50 mut-odo-vecdims-add-in-leaf 50 494975
gather48-src-50 sum-only-early 50 202572
lenet-L1-28-c1-k5 mut-odo-vecdims-add-in-leaf-u2 50 485326
lenet-L1-28-c1-k5 mut-odo-vecdims-add-in-leaf-u2-down 50 481397
lenet-L1-28-c1-k5 mut-odo-vecdims-add-in-leaf-down 50 472673
lenet-L1-28-c1-k5 mut-odo-vecdims-add-in-leaf 50 493158
lenet-L1-28-c1-k5 sum-only-early 50 176460
stretch-bigstride mut-odo-vecdims-add-in-leaf-u2 50 37205943
stretch-bigstride mut-odo-vecdims-add-in-leaf-u2-down 50 36605942
stretch-bigstride mut-odo-vecdims-add-in-leaf-down 50 37206391
stretch-bigstride mut-odo-vecdims-add-in-leaf 50 38406411
stretch-bigstride sum-only-early 50 16200122
stretch-coprime-r7 mut-odo-vecdims-add-in-leaf-u2 50 1278421
stretch-coprime-r7 mut-odo-vecdims-add-in-leaf-u2-down 50 1273797
stretch-coprime-r7 mut-odo-vecdims-add-in-leaf-down 50 1224525
stretch-coprime-r7 mut-odo-vecdims-add-in-leaf 50 1287632
stretch-coprime-r7 sum-only-early 50 540605
stretch-inner1 mut-odo-vecdims-add-in-leaf-u2 50 13003775
stretch-inner1 mut-odo-vecdims-add-in-leaf-u2-down 50 12503748
stretch-inner1 mut-odo-vecdims-add-in-leaf-down 50 14003742
stretch-inner1 mut-odo-vecdims-add-in-leaf 50 14003715
stretch-inner1 sum-only-early 50 4500084
stretch-inner256 mut-odo-vecdims-add-in-leaf-u2 50 31617079
stretch-inner256 mut-odo-vecdims-add-in-leaf-u2-down 50 31610240
stretch-inner256 mut-odo-vecdims-add-in-leaf-down 50 29845728
stretch-inner256 mut-odo-vecdims-add-in-leaf 50 31589712
stretch-inner256 sum-only-early 50 15757117
stretch-pow2stride mut-odo-vecdims-add-in-leaf-u2 50 32247787
stretch-pow2stride mut-odo-vecdims-add-in-leaf-u2-down 50 32220158
stretch-pow2stride mut-odo-vecdims-add-in-leaf-down 50 30395210
stretch-pow2stride mut-odo-vecdims-add-in-leaf 50 32137174
stretch-pow2stride sum-only-early 50 15925371
stretch-primes mut-odo-vecdims-add-in-leaf-u2 50 4538680
stretch-primes mut-odo-vecdims-add-in-leaf-u2-down 50 4535851
stretch-primes mut-odo-vecdims-add-in-leaf-down 50 4296455
stretch-primes mut-odo-vecdims-add-in-leaf 50 4544292
stretch-primes sum-only-early 50 2253270
stretch-r5-8x432 mut-odo-vecdims-add-in-leaf-u2 50 34990269
stretch-r5-8x432 mut-odo-vecdims-add-in-leaf-u2-down 50 34769099
stretch-r5-8x432 mut-odo-vecdims-add-in-leaf-down 50 32555480
stretch-r5-8x432 mut-odo-vecdims-add-in-leaf 50 34105523
stretch-r5-8x432 sum-only-early 50 15925383
stretch-rank10 mut-odo-vecdims-add-in-leaf-u2 50 1828950
stretch-rank10 mut-odo-vecdims-add-in-leaf-u2-down 50 1809249
stretch-rank10 mut-odo-vecdims-add-in-leaf-down 50 1799418
stretch-rank10 mut-odo-vecdims-add-in-leaf 50 1868298
stretch-rank10 sum-only-early 50 531496
stretch-rank12 mut-odo-vecdims-add-in-leaf-u2 50 233187
stretch-rank12 mut-odo-vecdims-add-in-leaf-u2-down 50 231131
stretch-rank12 mut-odo-vecdims-add-in-leaf-down 50 216812
stretch-rank12 mut-odo-vecdims-add-in-leaf 50 224979
stretch-rank12 sum-only-early 50 36917
stretch-square-1341 mut-odo-vecdims-add-in-leaf-u2 50 32385643
stretch-square-1341 mut-odo-vecdims-add-in-leaf-u2-down 50 32384310
stretch-square-1341 mut-odo-vecdims-add-in-leaf-down 50 30591392
stretch-square-1341 mut-odo-vecdims-add-in-leaf 50 32388354
stretch-square-1341 sum-only-early 50 16184655
stretch-tab7MB mut-odo-vecdims-add-in-leaf-u2 50 45061685
stretch-tab7MB mut-odo-vecdims-add-in-leaf-u2-down 50 44161694
stretch-tab7MB mut-odo-vecdims-add-in-leaf-down 50 40557952
stretch-tab7MB mut-odo-vecdims-add-in-leaf 50 41461690
stretch-tab7MB sum-only-early 50 16200107
stretch-tall-Mx2 mut-odo-vecdims-add-in-leaf-u2 50 32405800
stretch-tall-Mx2 mut-odo-vecdims-add-in-leaf-u2-down 50 32406347
stretch-tall-Mx2 mut-odo-vecdims-add-in-leaf-down 50 30605784
stretch-tall-Mx2 mut-odo-vecdims-add-in-leaf 50 32405781
stretch-tall-Mx2 sum-only-early 50 16200069
stretch-wide-2xM mut-odo-vecdims-add-in-leaf-u2 50 45005284
stretch-wide-2xM mut-odo-vecdims-add-in-leaf-u2-down 50 44106331
stretch-wide-2xM mut-odo-vecdims-add-in-leaf-down 50 40505764
stretch-wide-2xM mut-odo-vecdims-add-in-leaf 50 41405763
stretch-wide-2xM sum-only-early 50 16200130
vgg-14-c512-k3 mut-odo-vecdims-add-in-leaf-u2 50 24805800
