# ./probe-fillB-g912 dc5a7038aeddf1e1de5e1e3aa77630a8 N=50 2026-08-30T20:10:44+02:00 ARMS=mut-odo-vecdims-add-in-leaf-u2 mut-odo-vecdims-add-in-leaf-u2-down mut-odo-vecdims-add-in-leaf-down mut-odo-vecdims-add-in-leaf sum-only-early
# shape arm N instructions:u
# every cell is (-n 2N) minus (-n N), over N, as run-counts.sh takes it
# ARMS-RESTRICTED BY CONSTRUCTION: this sweep is never a roster column
alexnet-L1-55-c3-k11 mut-odo-vecdims-add-in-leaf-u2 50 19281598
alexnet-L1-55-c3-k11 mut-odo-vecdims-add-in-leaf-u2-down 50 19181746
alexnet-L1-55-c3-k11 mut-odo-vecdims-add-in-leaf-down 50 22675655
alexnet-L1-55-c3-k11 mut-odo-vecdims-add-in-leaf 50 21514210
alexnet-L1-55-c3-k11 sum-only-early 50 9882779
alexnet-L2-27-c48-k5 mut-odo-vecdims-add-in-leaf-u2 50 17826315
alexnet-L2-27-c48-k5 mut-odo-vecdims-add-in-leaf-u2-down 50 17651357
alexnet-L2-27-c48-k5 mut-odo-vecdims-add-in-leaf-down 50 20625642
alexnet-L2-27-c48-k5 mut-odo-vecdims-add-in-leaf 50 19683161
alexnet-L2-27-c48-k5 sum-only-early 50 7873309
cifar-L2-16-c64-k3 mut-odo-vecdims-add-in-leaf-u2 50 3821759
cifar-L2-16-c64-k3 mut-odo-vecdims-add-in-leaf-u2-down 50 3772608
cifar-L2-16-c64-k3 mut-odo-vecdims-add-in-leaf-down 50 4313283
cifar-L2-16-c64-k3 mut-odo-vecdims-add-in-leaf 50 4166639
cifar-L2-16-c64-k3 sum-only-early 50 1327159
cnn-L1-24x24-c1 mut-odo-vecdims-add-in-leaf-u2 50 171708
cnn-L1-24x24-c1 mut-odo-vecdims-add-in-leaf-u2-down 50 169964
cnn-L1-24x24-c1 mut-odo-vecdims-add-in-leaf-down 50 188969
cnn-L1-24x24-c1 mut-odo-vecdims-add-in-leaf 50 185589
cnn-L1-24x24-c1 sum-only-early 50 46727
cnn-L1-6x6-c1 mut-odo-vecdims-add-in-leaf-u2 50 13306
cnn-L1-6x6-c1 mut-odo-vecdims-add-in-leaf-u2-down 50 13200
cnn-L1-6x6-c1 mut-odo-vecdims-add-in-leaf-down 50 14386
cnn-L1-6x6-c1 mut-odo-vecdims-add-in-leaf 50 14194
cnn-L1-6x6-c1 sum-only-early 50 2970
cnn-L2-24x24-c32 mut-odo-vecdims-add-in-leaf-u2 50 4316357
cnn-L2-24x24-c32 mut-odo-vecdims-add-in-leaf-u2-down 50 4261073
cnn-L2-24x24-c32 mut-odo-vecdims-add-in-leaf-down 50 4869321
cnn-L2-24x24-c32 mut-odo-vecdims-add-in-leaf 50 4705232
cnn-L2-24x24-c32 sum-only-early 50 1493003
cnn-slice-c32 mut-odo-vecdims-add-in-leaf-u2 50 9171
cnn-slice-c32 mut-odo-vecdims-add-in-leaf-u2-down 50 9077
cnn-slice-c32 mut-odo-vecdims-add-in-leaf-down 50 10134
cnn-slice-c32 mut-odo-vecdims-add-in-leaf 50 9839
cnn-slice-c32 sum-only-early 50 2648
conv1d-24 mut-odo-vecdims-add-in-leaf-u2 50 108224
conv1d-24 mut-odo-vecdims-add-in-leaf-u2-down 50 106493
conv1d-24 mut-odo-vecdims-add-in-leaf-down 50 125497
conv1d-24 mut-odo-vecdims-add-in-leaf 50 118871
conv1d-24 sum-only-early 50 46710
gather48-src-50 mut-odo-vecdims-add-in-leaf-u2 50 449387
gather48-src-50 mut-odo-vecdims-add-in-leaf-u2-down 50 441875
gather48-src-50 mut-odo-vecdims-add-in-leaf-down 50 524372
gather48-src-50 mut-odo-vecdims-add-in-leaf 50 494978
gather48-src-50 sum-only-early 50 202572
lenet-L1-28-c1-k5 mut-odo-vecdims-add-in-leaf-u2 50 449166
lenet-L1-28-c1-k5 mut-odo-vecdims-add-in-leaf-u2-down 50 445244
lenet-L1-28-c1-k5 mut-odo-vecdims-add-in-leaf-down 50 511871
lenet-L1-28-c1-k5 mut-odo-vecdims-add-in-leaf 50 493159
lenet-L1-28-c1-k5 sum-only-early 50 176460
stretch-bigstride mut-odo-vecdims-add-in-leaf-u2 50 34806406
stretch-bigstride mut-odo-vecdims-add-in-leaf-u2-down 50 34206404
stretch-bigstride mut-odo-vecdims-add-in-leaf-down 50 40807438
stretch-bigstride mut-odo-vecdims-add-in-leaf 50 38406403
stretch-bigstride sum-only-early 50 16200126
stretch-coprime-r7 mut-odo-vecdims-add-in-leaf-u2 50 1159859
stretch-coprime-r7 mut-odo-vecdims-add-in-leaf-u2-down 50 1155237
stretch-coprime-r7 mut-odo-vecdims-add-in-leaf-down 50 1344645
stretch-coprime-r7 mut-odo-vecdims-add-in-leaf 50 1287633
stretch-coprime-r7 sum-only-early 50 540583
stretch-inner1 mut-odo-vecdims-add-in-leaf-u2 50 13003771
stretch-inner1 mut-odo-vecdims-add-in-leaf-u2-down 50 12503744
stretch-inner1 mut-odo-vecdims-add-in-leaf-down 50 15003742
stretch-inner1 mut-odo-vecdims-add-in-leaf 50 14003755
stretch-inner1 sum-only-early 50 4500062
stretch-inner256 mut-odo-vecdims-add-in-leaf-u2 50 28115555
stretch-inner256 mut-odo-vecdims-add-in-leaf-u2-down 50 28108520
stretch-inner256 mut-odo-vecdims-add-in-leaf-down 50 33347301
stretch-inner256 mut-odo-vecdims-add-in-leaf 50 31589703
stretch-inner256 sum-only-early 50 15757115
stretch-pow2stride mut-odo-vecdims-add-in-leaf-u2 50 28708679
stretch-pow2stride mut-odo-vecdims-add-in-leaf-u2-down 50 28681022
stretch-pow2stride mut-odo-vecdims-add-in-leaf-down 50 33934144
