# ./probe-bang-g912 70e9e93ed72f61ee04b0bc0f4e71e36b N=50 2026-08-30T07:35:30+02:00 ARMS=list lib-stage1 lib-stage2 mut-odo-vecdims-add-in-leaf-u2 sum-only-early class=runs
# shape arm N instructions:u cycles:u stalled-cycles-frontend:u branch-misses:u cache-misses:u
# every cell is (-n 2N) minus (-n N), over N, as run-counts.sh takes it
# ARMS-RESTRICTED BY CONSTRUCTION: this sweep is never a roster column
runs-1024 list 50 409556301 119737251 1988376 67981 170950
runs-1024 lib-stage1 50 17142869 9269023 66096 183 65220
runs-1024 lib-stage2 50 33316749 9762647 85853 1757 12712
runs-1024 mut-odo-vecdims-add-in-leaf-u2 50 32415548 9807694 88775 1798 12078
runs-1024 sum-only-early 50 16192662 5431224 15400 -7 4139
runs-2 list 50 541655522 165845487 5310192 89495 237502
runs-2 lib-stage1 50 783919618 232178479 4828500 168582 737499
runs-2 lib-stage2 50 45907557 12209942 573505 58 15789
runs-2 mut-odo-vecdims-add-in-leaf-u2 50 45005975 11029992 105530 60 15348
runs-2 sum-only-early 50 16200264 5441742 32477 34 3905
runs-3 list 50 497059315 150141840 5420872 81261 240851
runs-3 lib-stage1 50 501674218 146690023 2672884 102656 434021
runs-3 lib-stage2 50 38408533 10291770 196187 83 15001
runs-3 mut-odo-vecdims-add-in-leaf-u2 50 37206488 10138628 83791 42 15604
runs-3 sum-only-early 50 16200148 5435403 15752 8 4112
runs-65536 list 50 402582729 117648794 1968783 64946 160178
runs-65536 lib-stage1 50 17273475 8501145 63482 83 61159
runs-65536 lib-stage2 50 32743151 9550733 89500 59 12846
runs-65536 mut-odo-vecdims-add-in-leaf-u2 50 31856808 9590573 91411 68 12145
runs-65536 sum-only-early 50 15925401 5350922 16339 -11 4097
runs-9 list 50 437835877 131839725 3714144 272428 188152
runs-9 lib-stage1 50 143481773 44835072 987824 23230 101145
runs-9 lib-stage2 50 35007523 9874124 97234 137 14496
runs-9 mut-odo-vecdims-add-in-leaf-u2 50 34005935 10093126 89115 49 13115
runs-9 sum-only-early 50 16199594 5428828 16601 2529 3943
runs-96 list 50 411919376 121923182 2764007 85528 173397
runs-96 lib-stage1 50 26545779 11567285 162444 1472 105640
runs-96 lib-stage2 50 33570065 9777202 89178 54 13432
runs-96 mut-odo-vecdims-add-in-leaf-u2 50 32668434 9955939 95361 50 12590
runs-96 sum-only-early 50 16200156 5430672 27329 -27 3920
runs-r3-48x30 list 50 417948543 123254746 2430487 128798 188491
runs-r3-48x30 lib-stage1 50 16878390 8999450 69212 181 43902
runs-r3-48x30 lib-stage2 50 33325275 9727447 96324 1334 13480
runs-r3-48x30 mut-odo-vecdims-add-in-leaf-u2 50 33322651 9867515 100591 1323 12428
runs-r3-48x30 sum-only-early 50 16200142 5459758 23446 13 4240
# end 2026-08-30T07:36:25+02:00
