# ./probe-bang-g912 70e9e93ed72f61ee04b0bc0f4e71e36b N=50 2026-08-30T07:33:17+02:00 ARMS=list lib-stage1 lib-stage2 mut-odo-vecdims-add-in-leaf-u2 sum-only-early
# shape arm N instructions:u cycles:u stalled-cycles-frontend:u branch-misses:u cache-misses:u
# every cell is (-n 2N) minus (-n N), over N, as run-counts.sh takes it
# ARMS-RESTRICTED BY CONSTRUCTION: this sweep is never a roster column
alexnet-L1-55-c3-k11 list 50 265979911 81050758 1733298 155411 167948
alexnet-L1-55-c3-k11 lib-stage1 50 21316885 5939160 71866 3198 8806
alexnet-L1-55-c3-k11 lib-stage2 50 21733544 6250641 70227 63 8880
alexnet-L1-55-c3-k11 mut-odo-vecdims-add-in-leaf-u2 50 21314560 5962355 75231 3177 8886
alexnet-L1-55-c3-k11 sum-only-early 50 9882761 3366134 10182 25 2348
alexnet-L2-27-c48-k5 list 50 229831454 71357003 2450474 74258 110647
alexnet-L2-27-c48-k5 lib-stage1 50 19335580 4981640 50529 824 7078
alexnet-L2-27-c48-k5 lib-stage2 50 19848084 5306441 64138 249 7482
alexnet-L2-27-c48-k5 mut-odo-vecdims-add-in-leaf-u2 50 19333245 5011996 58437 858 7059
alexnet-L2-27-c48-k5 sum-only-early 50 7873308 2651094 6718 -7 2068
cifar-L2-16-c64-k3 list 50 43141054 13228373 470019 22651 21009
cifar-L2-16-c64-k3 lib-stage1 50 4070651 1083810 24945 630 1377
cifar-L2-16-c64-k3 lib-stage2 50 4167776 1092550 28131 334 1474
cifar-L2-16-c64-k3 mut-odo-vecdims-add-in-leaf-u2 50 4068335 1079212 22275 584 1292
cifar-L2-16-c64-k3 sum-only-early 50 1327155 444695 -117 -7 358
cnn-L1-24x24-c1 list 50 1616417 499228 14237 544 1057
cnn-L1-24x24-c1 lib-stage1 50 184482 51950 2435 57 70
cnn-L1-24x24-c1 lib-stage2 50 150528 44582 2174 29 112
cnn-L1-24x24-c1 mut-odo-vecdims-add-in-leaf-u2 50 182140 46886 -1235 56 60
cnn-L1-24x24-c1 sum-only-early 50 46718 15797 57 25 -3
cnn-L1-6x6-c1 list 50 104468 45257 3312 47 47
cnn-L1-6x6-c1 lib-stage1 50 16309 7493 1723 6 -2
cnn-L1-6x6-c1 lib-stage2 50 13175 7378 2822 -9 -35
cnn-L1-6x6-c1 mut-odo-vecdims-add-in-leaf-u2 50 13978 5304 841 7 -4
cnn-L1-6x6-c1 sum-only-early 50 2972 501 286 9 -20
cnn-L2-24x24-c32 list 50 48576563 15126285 509514 26635 25819
cnn-L2-24x24-c32 lib-stage1 50 4596948 1207875 22021 881 1529
cnn-L2-24x24-c32 lib-stage2 50 4688109 1205543 25449 328 1739
cnn-L2-24x24-c32 mut-odo-vecdims-add-in-leaf-u2 50 4594648 1220872 23949 1395 1424
cnn-L2-24x24-c32 sum-only-early 50 1493107 500603 2052 15 408
cnn-slice-c32 list 50 87062 28097 1797 38 -6
cnn-slice-c32 lib-stage1 50 11014 6154 2320 -8 -54
cnn-slice-c32 lib-stage2 50 11893 6105 2271 -10 -34
cnn-slice-c32 mut-odo-vecdims-add-in-leaf-u2 50 9657 6220 1070 13 27
cnn-slice-c32 sum-only-early 50 2648 4495 2517 -9 48
conv1d-24 list 50 1455942 466353 19225 422 1049
conv1d-24 lib-stage1 50 117263 39479 4571 53 213
conv1d-24 lib-stage2 50 119168 39161 3386 46 318
conv1d-24 mut-odo-vecdims-add-in-leaf-u2 50 115418 39678 4828 51 119
conv1d-24 sum-only-early 50 46709 15958 -501 -16 66
gather48-src-50 list 50 6240811 1941970 66572 1221 4438
gather48-src-50 lib-stage1 50 481822 147832 6962 118 1227
gather48-src-50 lib-stage2 50 493733 154054 7973 85 2466
gather48-src-50 mut-odo-vecdims-add-in-leaf-u2 50 479981 144919 4192 126 968
gather48-src-50 sum-only-early 50 202586 69488 1260 20 97
lenet-L1-28-c1-k5 list 50 5267147 1636697 54975 1658 2865
lenet-L1-28-c1-k5 lib-stage1 50 487652 146024 6298 139 333
lenet-L1-28-c1-k5 lib-stage2 50 449075 143758 8601 139 418
lenet-L1-28-c1-k5 mut-odo-vecdims-add-in-leaf-u2 50 485314 146665 5607 129 321
lenet-L1-28-c1-k5 sum-only-early 50 176486 57923 -330 -1 57
stretch-bigstride list 50 698490258 220307984 6712380 134779 526679
stretch-bigstride lib-stage1 50 37207788 9692109 78838 34 11854
stretch-bigstride lib-stage2 50 38408378 9765079 233292 -31 9092
stretch-bigstride mut-odo-vecdims-add-in-leaf-u2 50 37206422 9690734 78445 28 13190
stretch-bigstride sum-only-early 50 16200139 5504496 21686 16 4535
stretch-coprime-r7 list 50 14694931 4485179 129247 8119 8450
stretch-coprime-r7 lib-stage1 50 1281678 343809 6419 293 739
stretch-coprime-r7 lib-stage2 50 1298889 369526 6412 69 382
stretch-coprime-r7 mut-odo-vecdims-add-in-leaf-u2 50 1278415 349733 7297 315 670
stretch-coprime-r7 sum-only-early 50 540601 184159 761 1 192
stretch-inner1 list 50 187042350 56439918 968489 31777 77341
stretch-inner1 lib-stage1 50 13004678 2790812 21403 16 4290
stretch-inner1 lib-stage2 50 4501004 1513246 7789 8 1284
stretch-inner1 mut-odo-vecdims-add-in-leaf-u2 50 13003760 2819033 20394 34 6287
stretch-inner1 sum-only-early 50 4500085 1502436 1710 0 1075
stretch-inner256 list 50 461707959 143451701 2743401 88392 2793923
stretch-inner256 lib-stage1 50 31618358 11131155 90197 6868 48047
stretch-inner256 lib-stage2 50 32494860 10817750 95810 6877 73663
stretch-inner256 mut-odo-vecdims-add-in-leaf-u2 50 31616966 11091005 98668 6879 49220
stretch-inner256 sum-only-early 50 15757185 5298834 17470 -11 3252
stretch-pow2stride list 50 406098076 126150940 2485598 92580 2170913
stretch-pow2stride lib-stage1 50 32249162 23556508 90776 73 253047
stretch-pow2stride lib-stage2 50 33134987 23881636 105961 185 336618
stretch-pow2stride mut-odo-vecdims-add-in-leaf-u2 50 32247787 23663012 100189 123 260412
stretch-pow2stride sum-only-early 50 15925369 5285888 14621 21 7048
stretch-primes list 50 57328027 17333917 360887 12090 155864
stretch-primes lib-stage1 50 4540023 1363061 13769 149 31470
stretch-primes lib-stage2 50 4667404 1357369 12332 125 32820
stretch-primes mut-odo-vecdims-add-in-leaf-u2 50 4538675 1346563 10894 72 29231
stretch-primes sum-only-early 50 2253274 756611 5223 5 629
stretch-r5-8x432 list 50 465744680 145472684 3625234 311912 753621
stretch-r5-8x432 lib-stage1 50 34992587 9921063 98503 676 51892
stretch-r5-8x432 lib-stage2 50 35873094 10173277 105220 640 51673
stretch-r5-8x432 mut-odo-vecdims-add-in-leaf-u2 50 34990242 9905764 103311 693 54414
stretch-r5-8x432 sum-only-early 50 15925386 5408937 15700 2684 3828
stretch-rank10 list 50 17754797 5625894 194156 13842 12098
stretch-rank10 lib-stage1 50 1833641 458719 7895 433 715
stretch-rank10 lib-stage2 50 1672281 400575 7012 84 854
stretch-rank10 mut-odo-vecdims-add-in-leaf-u2 50 1828941 464668 8603 449 724
stretch-rank10 sum-only-early 50 531516 181398 3303 -7 205
stretch-rank12 list 50 1543223 506124 18284 1048 1391
stretch-rank12 lib-stage1 50 238939 63210 3100 45 122
stretch-rank12 lib-stage2 50 173424 47404 590 18 68
stretch-rank12 mut-odo-vecdims-add-in-leaf-u2 50 233188 62527 3541 38 5
stretch-rank12 sum-only-early 50 36916 13022 43 14 41
stretch-square-1341 list 50 409266187 126619319 3875300 67029 2536654
stretch-square-1341 lib-stage1 50 32386515 17841312 74256 1382 385995
stretch-square-1341 lib-stage2 50 33287067 17926029 152142 1370 443947
stretch-square-1341 mut-odo-vecdims-add-in-leaf-u2 50 32385658 19173476 97191 1385 389675
stretch-square-1341 sum-only-early 50 16184638 5487442 20130 -23 7592
stretch-tab7MB list 50 541814713 169246242 5406701 90330 269924
stretch-tab7MB lib-stage1 50 45063047 10826657 107910 922 38959
stretch-tab7MB lib-stage2 50 45964996 11798265 229301 957 48364
stretch-tab7MB mut-odo-vecdims-add-in-leaf-u2 50 45061695 10925788 115581 942 38543
stretch-tab7MB sum-only-early 50 16200131 5413575 18341 0 4123
stretch-tall-Mx2 list 50 524283566 156173065 2733652 96580 284957
stretch-tall-Mx2 lib-stage1 50 32407688 10263345 115539 82 17629
stretch-tall-Mx2 lib-stage2 50 33307412 10473397 116216 36 17759
stretch-tall-Mx2 mut-odo-vecdims-add-in-leaf-u2 50 32405815 10579491 107710 8 17105
stretch-tall-Mx2 sum-only-early 50 16200129 5373641 17869 23 4202
stretch-wide-2xM list 50 541674890 183467741 10309051 89853 256499
stretch-wide-2xM lib-stage1 50 45007670 10701702 99739 116 13597
stretch-wide-2xM lib-stage2 50 45907941 11841014 447224 51 9841
stretch-wide-2xM mut-odo-vecdims-add-in-leaf-u2 50 45005790 10531561 98570 57 17066
stretch-wide-2xM sum-only-early 50 16200127 5480172 27276 45 4301
vgg-14-c512-k3 list 50 264201909 81707790 1962825 136954 112878
vgg-14-c512-k3 lib-stage1 50 24808104 6117773 50732 398 7021
vgg-14-c512-k3 lib-stage2 50 25497046 6268257 71726 234 7091
vgg-14-c512-k3 mut-odo-vecdims-add-in-leaf-u2 50 24805720 6061393 43149 219 6802
vgg-14-c512-k3 sum-only-early 50 8128616 2726957 14636 -8 2012
# end 2026-08-30T07:34:37+02:00
