# The A/A floor, one row per run, the write-up's step 6c appending its own.
# `pairs` is how many A/A pairs the whole-set figure is a max over, so rows
# with different `pairs` are different statistics. `carry-*` is the max
# over the four pairs that carry back to Run 10. A `-` is a figure no
# write-up recorded; Runs 16 to 35's artifacts are deleted, so their rows
# are the only copy.
run	pairs	basis	control	carry-basis	carry-control
16	18	2.32%	1.22%	-	-
17	18	3.70%	3.89%	-	-
18	18	1.36%	1.42%	0.54%	-
19	18	2.32%	1.71%	0.49%	-
20	18	1.51%	1.18%	0.44%	-
21	16	2.92%	2.16%	0.46%	-
22	16	2.12%	1.08%	0.37%	-
23	16	2.03%	2.80%	0.39%	-
24	16	1.26%	2.11%	0.34%	-
25	6	0.40%	0.61%	0.40%	-
26	6	0.31%	0.46%	0.31%	-
27	6	0.83%	0.63%	0.83%	-
28	8	0.50%	0.65%	0.39%	-
29	8	0.51%	0.82%	0.26%	-
30	8	0.57%	0.84%	0.57%	-
31	8	0.61%	1.58%	0.61%	-
32	8	0.66%	0.68%	0.66%	-
33	8	0.47%	0.62%	0.47%	-
34	8	0.51%	0.49%	0.49%	-
35	8	0.64%	0.40%	0.49%	-
36	8	1.63%	0.53%	0.75%	-
37	8	0.59%	0.48%	0.59%	-
38	8	0.57%	0.28%	0.57%	-
39	8	0.57%	0.43%	0.57%	0.43%
