=== peak scale test finished; span sweep begins 2026-08-17T20:18:51+02:00 ===
shape                             4m          8m         16m         32m         64m        128m   span
alexnet-L1-55-c3-k11           686.5       833.5        1158        1677        3810        2170   <=4m
alexnet-L2-27-c48-k5       7.991e+05       902.1        1266        1883        4331        1306   <=8m
cifar-L2-16-c64-k3              1655        2847        5363       949.1       791.6       975.6   <=4m
cnn-L1-24x24-c1                 1078        1392        1518        1636        1837        1109   <=4m
cnn-L1-6x6-c1                   1229        1716        2217        2833        1805        2026   <=4m
cnn-L2-24x24-c32                1488        2510        6140       920.2         773       952.1   <=4m
cnn-slice-c32                  898.3        1219        1869        2446        2205        2294   <=4m
conv1d-24                       1001        1356        1541        1571        1760        1026   <=4m
gather48-src-50                808.7        1017        1225        1165        1325         994   <=4m
lenet-L1-28-c1-k5              949.6        1151        1402        1333        1425        1042   <=4m
stretch-bigstride          4.122e+05   8.501e+05   1.821e+06   3.651e+06   4.689e+06        3437   <=128m
stretch-coprime-r7         4.537e+04        2487        1181        1181        1254        1170   <=8m
stretch-inner1                 441.7         677        1118        1905        4706       567.5   <=4m
stretch-inner256           8.467e+05   1.793e+06    3.01e+06   1.127e+06        2052        5166   <=64m
stretch-pow2stride         9.786e+05         543       759.4        1108        1993        5121   <=8m
stretch-primes                  1179        2077        5241        1372       625.1       804.4   <=4m
stretch-r5-8x432           8.235e+05   1.583e+06   3.086e+06   3.926e+05        1919        5109   <=64m
stretch-rank10                  4504        5034        1548        1611        1304        1369   <=4m
stretch-rank12                  1770        2064        2188        2250        2357        1490   <=4m
stretch-square-1341            336.4       431.8       628.9       932.6        1715        4624   <=4m
stretch-tab7MB                 390.6       497.6       617.3       845.3        1450        3019   <=4m
stretch-tall-Mx2           2.132e+05   4.449e+05    9.87e+05   2.435e+06   4.036e+06        4829   <=128m
stretch-wide-2xM               277.2       375.1       476.1       669.8        1200        2567   <=4m
vgg-14-c512-k3             7.385e+05   1.365e+06        1112        1594        3322        2231   <=16m
DONE-SPAN
